"study_id","pmid","condition","body_site","taxon","ncbi_id","direction","sequencing_type","statistical_test","host_species","country","study_design"
"bsdb:21850056/1/1","21850056","Colorectal cancer","Feces","Porphyromonas",836,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/1","21850056","Colorectal cancer","Feces","Escherichia",561,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/1","21850056","Colorectal cancer","Feces","Shigella",620,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/1","21850056","Colorectal cancer","Feces","Enterococcus",1350,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/1","21850056","Colorectal cancer","Feces","Streptococcus",1301,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/1","21850056","Colorectal cancer","Feces","Peptostreptococcus",1257,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/2","21850056","Colorectal cancer","Feces","Bacteroides",816,"decreased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/2","21850056","Colorectal cancer","Feces","Roseburia",841,"decreased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/2","21850056","Colorectal cancer","Feces","Alistipes",239759,"decreased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/2","21850056","Colorectal cancer","Feces","Eubacterium",1730,"decreased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:21850056/1/2","21850056","Colorectal cancer","Feces","Parasutterella",577310,"decreased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Anaerococcus",165779,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Campylobacter",194,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Campylobacteraceae",72294,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Eubacteriaceae",186806,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Eubacterium",1730,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Fastidiosipila",236752,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Fusobacteriaceae",203492,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Fusobacteriia",203490,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Fusobacterium",848,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Gemella",1378,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Holdemania",61170,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Kingella",32257,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Leptotrichia",32067,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Odoribacter",283168,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Oscillibacter",459786,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Parabacteroides",375288,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Parvimonas",543311,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Peptostreptococcus",1257,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Porphyromonadaceae",171551,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Porphyromonas",836,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Solobacterium",123375,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Staphylococcaceae",90964,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/1","23733170","Colorectal cancer","Feces","Tissierellia",1737404,"increased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/2","23733170","Colorectal cancer","Feces","Leuconostoc",1243,"decreased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23733170/1/2","23733170","Colorectal cancer","Feces","Streptococcus",1301,"decreased","16S","Mann-Whitney (Wilcoxon)","Homo sapiens","China","case-control"
"bsdb:23940645/1/1","23940645","Colorectal cancer","Feces","Akkermansia muciniphila",239935,"increased","16S","T-Test","Homo sapiens","United States of America","case-control"
"bsdb:23940645/1/1","23940645","Colorectal cancer","Feces","Phascolarctobacterium",33024,"increased","16S","T-Test","Homo sapiens","United States of America","case-control"
"bsdb:23940645/1/1","23940645","Colorectal cancer","Feces","Citrobacter farmeri",67824,"increased","16S","T-Test","Homo sapiens","United States of America","case-control"
"bsdb:23940645/1/1","23940645","Colorectal cancer","Feces","Acidaminobacter",65402,"increased","16S","T-Test","Homo sapiens","United States of America","case-control"
"bsdb:23940645/1/2","23940645","Colorectal cancer","Feces","Bacteroides finegoldii",338188,"decreased","16S","T-Test","Homo sapiens","United States of America","case-control"
"bsdb:23940645/1/2","23940645","Colorectal cancer","Feces","Bacteroides intestinalis",329854,"decreased","16S","T-Test","Homo sapiens","United States of America","case-control"
"bsdb:23940645/1/2","23940645","Colorectal cancer","Feces","Blautia obeum",40520,"decreased","16S","T-Test","Homo sapiens","United States of America","case-control"
"bsdb:23940645/1/2","23940645","Colorectal cancer","Feces","Dialister invisus",218538,"decreased","16S","T-Test","Homo sapiens","United States of America","case-control"
"bsdb:23940645/1/2","23940645","Colorectal cancer","Feces","Dialister pneumosintes",39950,"decreased","16S","T-Test","Homo sapiens","United States of America","case-control"
"bsdb:23940645/1/2","23940645","Colorectal cancer","Feces","Dorea formicigenerans",39486,"decreased","16S","T-Test","Homo sapiens","United States of America","case-control"
